"Source:","/home/greg/projects/ButterStick/hardware/ButterStick/ButterStick.sch"
"","","R41","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R42","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R43","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R44","22.1k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT22K1","",""
"","","R45","73.2k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT73K2","",""
"","","R46","22.1k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT22K1","",""
"","","R47","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R48","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R49","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R50","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R51","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R52","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R53","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R54","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R55","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R56","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R57","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R58","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R59","510k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT510K","",""
"","","R60","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R61","10k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT10K0","",""
"","","R62","10k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT10K0","",""
"","","U1","TLV725P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73325PDQNT "," 296-38493-1-ND ",""
"","","U2","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"","","U3","ECP5U25","gkl_lattice:ECP5U25-BG381","gkl_housings_bga:caBGA_381_17x17","","","Lattice","LFE5U-45F-8BG381C"," 220-2052-ND ",""
"","","U4","IS66WVH16M8ALL","gkl_mem:S27KS0641","bosonFrameGrabber:BGA_24","","","ISSI, Integrated Silicon Solution Inc","IS66WVH16M8ALL-166B1LI","706-1548-ND",""
"","","U5","IS66WVH16M8ALL","gkl_mem:S27KS0641","bosonFrameGrabber:BGA_24","","","ISSI, Integrated Silicon Solution Inc","IS66WVH16M8ALL-166B1LI","706-1548-ND",""
"","","U6","S25FL127S","gkl_mem:AT25SF081","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm","","","Cypress Semiconductor Corp","S25FL127SABMFI101","1092-1178-1-ND",""
"","","U7","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"","","U8","TLV718P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73318PDQNT "," 296-38538-1-ND ",""
"","","U9","TLV711P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73311PDQNT "," 296-38619-1-ND ",""
"","","U10","XCL206","gkl_pmic:XCL206","bosonFrameGrabber:CL-2025","","","Torex Semiconductor Ltd"," XCL206B123CR-G ","893-1404-1-ND",""
"","","U11","KSZ9031","gkl_microchip:KSZ9031","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","","Microchip Technology","","KSZ9031RNXCA","576-4040-ND",""
"","","U12","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"","","U13","SN74LVC1T45","gkl_misc:SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666","","","Texas Instruments","SN74LVC1T45DRLR"," 296-20629-1-ND ",""
"","","U14","SN74LVC1T45","gkl_misc:SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666","","","Texas Instruments","SN74LVC1T45DRLR"," 296-20629-1-ND ",""
"","","U15","TPS542951","gkl_pmic:TPS542951","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias","","Texas Instruments","","TPS542951RSAR","",""
"","","U16","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"","","U17","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"","","U18","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"","","U19","ATmega328PB-MU","MCU_Microchip_ATmega:ATmega328PB-MU","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf","Microchip Technology","","ATMEGA328PB-MUR","",""
"","","U20","PUSB3FR6","gkl_misc:PUSB3FR6","gkl_housings_son:XSON7","","Nexperia USA Inc.","","PUSB3FR6Z","",""
"","","U21","LTC4367","gkl_pmic:LTC4367","Package_SO:MSOP-8_3x3mm_P0.65mm","","Linear Technology/Analog Devices","","LTC4367IMS8-1#PBF","",""
"","","U22","AON7804","gkl_mosfet:AON7804","gkl_housings_dfn:DFN3X3_8L_EP2_P","","Alpha & Omega Semiconductor Inc.","","AON7804","",""
"","","X1","ASDMB","gkl_time:TYETBCSANF-32.000000","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","http://www.abracon.com/Oscillators/ASV.pdf","SiTIME","","SIT8008BI-72-18N-25.000000G"," 1473-30509-1-ND ",""
"","","Y1","25Mhz","Device:Crystal_GND24_Small","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","~","Kyocera International Inc. Electronic Components","","CX2520DB25000D0FLJC1","1253-1723-1-ND",""
"","","Y2","Resonator","Device:Resonator","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~","Murata Electronics North America","","CSTCE8M00G52-R0","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","Mfg","PN","SN-DK","Tol"
"1","10","C1, C12, C24, C38, C40, C41, C42, C43, C45, C47","4.7uF","Device:C","pkl_dipol:C_0603","~","","Samsung Electro-Mechanics","CL10A475KP8NNNC","1276-1044-1-ND",""
"2","36","C2, C6, C7, C8, C9, C10, C15, C16, C17, C18, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C39, C44, C46, C48, C49, C50, C64, C65, C66, C71","100nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B104KP5NNNC","1276-1002-1-ND",""
"3","4","C3, C4, C5, C51","1uF","Device:C","pkl_dipol:C_0402","","","Samsung Electro-Mechanics","CL05A105KP5NNNC","445-13185-1-ND",""
"4","4","C11, C13, C14, C55","10uF","Device:C","pkl_dipol:C_0603","~","","","CL10A106MP8NNNC","445-7486-1-ND",""
"5","2","C36, C37","22pF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05C220JB5NNWC","",""
"6","4","C52, C53, C54, C56","22uF","Device:C","pkl_dipol:C_0805","","","","CL21A226MOCLRNC","1276-1002-1-ND",""
"7","2","C57, C60","10pF","Device:C","pkl_dipol:C_0402","","","","CL05C100JB5NNNC","1276-1002-1-ND",""
"8","5","C58, C59, C61, C62, C63","10nF","Device:C","pkl_dipol:C_0402","~","","Samsung Electro-Mechanics","CL05B103KB5NNNC","1276-1002-1-ND",""
"9","3","C67, C69, C70","10uF","Device:C","pkl_dipol:C_0805","","","","CL21A106KAFN3NE","",""
"10","1","C68","100n","Device:C","pkl_dipol:C_0603","","","","CL10B104KB8NNNC","",""
"11","1","CON1","JD1_0001NL","gkl_misc:JD1_0001NL","gkl_conn:MAGJACK","","","","JD1-0001NL","553-2361-ND",""
"12","9","D1, D2, D3, D4, D5, D6, D7, D8, D9","pkl_LED","pkl_device:pkl_LED","pkl_dipol:D_0603","","","Lite-On Inc.","LTST-C190GKT","",""
"13","3","FB1, FB2, L1","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0402","~","","Samsung Electro-Mechanics","CIM05U601NC","490-1006-1-ND",""
"14","3","J1, J3, J5","SYZYGY-STD","gkl_misc:SYZYGY-STD","gkl_conn:SYZYGY_standard_carrier","","","Samtec Inc.","QSE-020-01-F-D-A","",""
"15","1","J2","JST GH Series","Connector:Conn_01x06_Male","Connectors_JST:JST_GH_BM06B-GHS-TBT_06x1.25mm_Straight","~","",""," BM06B-GHS-TBT(LF)(SN)(N) "," 455-1582-1-ND ",""
"16","1","J4","MicroSD","Connector:Conn_01x11_Male","gkl_conn:molex_microsd_1040310811","~","","","1040310811"," WM6357CT-ND",""
"17","1","J6","JST_PA","Connector:Conn_01x02_Male","gkl_conn:SB02B-PASK-2","~","","JST Sales America Inc.","S02B-PASK-2(LF)(SN)","",""
"18","1","J7","TagConnect","Connector_Generic:Conn_02x03_Odd_Even","pkl_tag_connect:TC2030-NL_SMALL","~","","","","",""
"19","2","L2, L4","2.2uH","Device:L_Small","Inductor_SMD:L_Taiyo-Yuden_MD-5050","~","Taiyo Yuden","","NR5040T2R2N","",""
"20","1","L3","600R","Device:Ferrite_Bead_Small","pkl_dipol:L_0603","~","","","742792651","732-1593-1-ND",""
"21","3","R1, R6, R18","42k2","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE42K2","","0.5%"
"22","3","R2, R16, R22","33K","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE33K0","","0.5%"
"23","9","R3, R35, R36, R37, R38, R39, R40, R41, R42","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"24","3","R4, R61, R62","10k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT10K0","P10KDECT-ND",""
"25","3","R5, R17, R23","24k9","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE24K9","","0.5%"
"26","10","R7, R8, R9, R10, R11, R12, R13, R14, R15, R24","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"27","1","R19","12.1K","Device:R","pkl_dipol:R_0603","~","","","P12.0KHCT-ND","ERJ-3EKF1202V",""
"28","2","R20, R21","220R","Device:R","pkl_dipol:R_0402","~","","","RC0402JR-07220RL","311-220JRCT-ND",""
"29","1","R25","210k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT210K","","1%"
"30","1","R26","84k5","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT84K5","","1%"
"31","11","R27, R32, R33, R34, R47, R48, R49, R50, R51, R52, R60","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"32","1","R28","49k9","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT49K9","","1%"
"33","6","R29, R30, R31, R53, R54, R55","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"34","4","R43, R56, R57, R58","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"35","2","R44, R46","22.1k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT22K1","",""
"36","1","R45","73.2k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT73K2","",""
"37","1","R59","510k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT510K","",""
"38","1","U1","TLV725P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73325PDQNT "," 296-38493-1-ND ",""
"39","3","U2, U12, U17","DAC081C081CIMK","Analog_DAC:DAC081C081CIMK","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/dac081c081.pdf","","Texas Instruments","DAC081C081CIMK/NOPB","",""
"40","1","U3","ECP5U25","gkl_lattice:ECP5U25-BG381","gkl_housings_bga:caBGA_381_17x17","","","Lattice","LFE5U-45F-8BG381C"," 220-2052-ND ",""
"41","2","U4, U5","IS66WVH16M8ALL","gkl_mem:S27KS0641","bosonFrameGrabber:BGA_24","","","ISSI, Integrated Silicon Solution Inc","IS66WVH16M8ALL-166B1LI","706-1548-ND",""
"42","1","U6","S25FL127S","gkl_mem:AT25SF081","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm","","","Cypress Semiconductor Corp","S25FL127SABMFI101","1092-1178-1-ND",""
"43","3","U7, U16, U18","TPS73101DBV","Regulator_Linear:TPS73101DBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tps731.pdf","","Texas Instruments","TPS73101DBVR","",""
"44","1","U8","TLV718P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73318PDQNT "," 296-38538-1-ND ",""
"45","1","U9","TLV711P","gkl_pmic:NCP167","bosonFrameGrabber:X2SON","http://www.onsemi.com/pub/Collateral/NCP167-D.PDF","","Texas Instruments"," TLV73311PDQNT "," 296-38619-1-ND ",""
"46","1","U10","XCL206","gkl_pmic:XCL206","bosonFrameGrabber:CL-2025","","","Torex Semiconductor Ltd"," XCL206B123CR-G ","893-1404-1-ND",""
"47","1","U11","KSZ9031","gkl_microchip:KSZ9031","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","","Microchip Technology","","KSZ9031RNXCA","576-4040-ND",""
"48","2","U13, U14","SN74LVC1T45","gkl_misc:SN74LVC1T45","TO_SOT_Packages_SMD:SOT-666","","","Texas Instruments","SN74LVC1T45DRLR"," 296-20629-1-ND ",""
"49","1","U15","TPS542951","gkl_pmic:TPS542951","Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm_ThermalVias","","Texas Instruments","","TPS542951RSAR","",""
"50","1","U19","ATmega328PB-MU","MCU_Microchip_ATmega:ATmega328PB-MU","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","http://ww1.microchip.com/downloads/en/DeviceDoc/40001906C.pdf","Microchip Technology","","ATMEGA328PB-MUR","",""
"51","1","U20","PUSB3FR6","gkl_misc:PUSB3FR6","gkl_housings_son:XSON7","","Nexperia USA Inc.","","PUSB3FR6Z","",""
"52","1","U21","LTC4367","gkl_pmic:LTC4367","Package_SO:MSOP-8_3x3mm_P0.65mm","","Linear Technology/Analog Devices","","LTC4367IMS8-1#PBF","",""
"53","1","U22","AON7804","gkl_mosfet:AON7804","gkl_housings_dfn:DFN3X3_8L_EP2_P","","Alpha & Omega Semiconductor Inc.","","AON7804","",""
"54","1","X1","ASDMB","gkl_time:TYETBCSANF-32.000000","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","http://www.abracon.com/Oscillators/ASV.pdf","SiTIME","","SIT8008BI-72-18N-25.000000G"," 1473-30509-1-ND ",""
"55","1","Y1","25Mhz","Device:Crystal_GND24_Small","Oscillators:Oscillator_SMD_SeikoEpson_SG210-4pin_2.5x2.0mm","~","Kyocera International Inc. Electronic Components","","CX2520DB25000D0FLJC1","1253-1723-1-ND",""
"56","1","Y2","Resonator","Device:Resonator","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~","Murata Electronics North America","","CSTCE8M00G52-R0","",""
